荣华实业	600311	08:31	5.99	5.83%	放量突破20日	
曙光股份	600303	08:31	11.52	6.08%	突破箱体	
怡球资源	601388	08:30	5.90	8.66%	突破箱体	
上海沪工	603131	08:30	22.88	0.00%	突破箱体	
山东路桥	000498	08:29	8.59	5.01%	放量突破20日	
闽东电力	000993	08:29	10.21	3.65%	突破箱体	
众泰汽车	000980	08:29	12.80	8.11%	突破箱体	
东方锆业	002167	08:29	13.25	4.33%	突破箱体	
天邦股份	002124	08:29	9.54	7.43%	放量突破20日	
合众思壮	002383	08:29	16.45	8.80%	放量突破20日 OKKKK	
东方新星	002755	08:28	32.64	10.01%	突破箱体	
东方新星	002755	08:28	32.64	10.01%	放量突破20日	
星帅尔	002860	08:28	46.40	3.27%	突破箱体	
劲胜智能	300083	08:28	9.41	4.56%	突破箱体	
雷曼股份	300162	08:28	10.62	4.12%	突破箱体	
润欣科技	300493	08:28	17.02	6.71%	突破箱体	
山河药辅	300452	08:27	29.17	7.40%	放量突破20日	 OKKK
